LineTotal,ProductID,ProductNumber,Name,ReviewerName,EmailAddress,Rating,ReviewDate
28.500000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
136.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
51.300000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
28.500000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
94.311250,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
39.900000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
45.600000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
28.500000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
45.600000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
57.000000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
75.597200,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
64.797600,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
59.397800,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
89.347500,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
51.300000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
28.500000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
89.347500,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
64.797600,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
89.347500,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
64.797600,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
5.700000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
104.238750,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
45.600000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
45.600000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
22.800000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
34.200000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
5.700000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
17.100000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
11.400000,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
114.166250,709,SO-B909-M,Mountain Bike Socks  M,John Smith,john@fourthcoffee.com,5,2013-09-18 00:00:00
